t,X1-x,X1-y,X1-z,X1_t-x,X1_t-y,X1_t-z,X3-x,X3-y,X3-z,X3_t-x,X3_t-y,X3_t-z
0.1433333,-0.6171246,1,-0.4411988,2.162064,0,0.4239411,-0.7133333,1.707107,0.2071068,2,-3.948808E-07,-1.080334E-07,
0.1466667,-0.6099171,1,-0.4397814,2.162431,0,0.4264891,-0.7066667,1.707107,0.2071068,2,1.713634E-07,-4.470348E-08,
0.15,-0.6027084,1,-0.4383555,2.162796,0,0.4290447,-0.7,1.707107,0.2071069,2,-1.266599E-07,-4.842877E-08,
0.1533333,-0.5954984,1,-0.4369211,2.16316,0,0.4316082,-0.6933333,1.707107,0.2071068,2,0,5.960464E-08,
0.1566667,-0.5882873,1,-0.4354781,2.163523,0,0.4341794,-0.6866667,1.707107,0.2071068,2,-2.682209E-07,1.117587E-08,
0.16,-0.581075,1,-0.4340265,2.163884,0,0.4367583,-0.6800001,1.707107,0.2071068,2,1.490116E-08,-4.842877E-08,
0.1633333,-0.5738614,1,-0.4325664,2.164243,0,0.4393451,-0.6733333,1.707107,0.2071068,2,2.682209E-07,6.332994E-08,
0.1666667,-0.5666466,1,-0.4310976,2.164602,0,0.4419395,-0.6666666,1.707107,0.2071068,2,2.980232E-08,5.960464E-08,
0.17,-0.5594308,1,-0.4296201,2.164958,0,0.4445417,-0.66,1.707107,0.2071068,2,-4.470348E-08,4.470349E-08,
0.1733333,-0.5522135,1,-0.428134,2.165313,0,0.4471517,-0.6533333,1.707107,0.2071068,2,2.235174E-07,7.450581E-08,
0.1766667,-0.5449953,1,-0.4266391,2.165667,0,0.4497693,-0.6466667,1.707107,0.2071068,2,-2.682209E-07,-1.341105E-07,
0.18,-0.5377758,1,-0.4251355,2.166019,0,0.4523948,-0.64,1.707107,0.2071068,2,-7.450581E-08,-4.470348E-08,
0.1833333,-0.5305552,1,-0.4236231,2.16637,0,0.4550279,-0.6333333,1.707107,0.2071068,2,1.788139E-07,-2.980232E-08,
0.1866667,-0.5233333,1,-0.4221019,2.166719,0,0.4576688,-0.6266666,1.707107,0.2071068,2,-1.788139E-07,-2.235174E-08,
0.19,-0.5161104,1,-0.420572,2.167066,0,0.4603174,-0.62,1.707107,0.2071069,2,1.341105E-07,3.72529E-08,
0.1933333,-0.5088863,1,-0.4190332,2.167412,0,0.4629737,-0.6133334,1.707107,0.2071068,2,1.490116E-07,-2.980232E-08,
0.1966667,-0.5016611,1,-0.4174855,2.167757,0,0.4656378,-0.6066667,1.707107,0.2071069,2,4.470348E-08,2.980232E-08,
0.2,-0.4944345,1,-0.4159289,2.168099,0,0.4683096,-0.6,1.707107,0.2071068,2,1.490116E-08,6.705523E-08,
0.2033333,-0.4872069,1,-0.4143634,2.168441,0,0.470989,-0.5933333,1.707107,0.2071068,2,1.639128E-07,-2.235174E-08,
0.2066667,-0.4799783,1,-0.412789,2.168781,0,0.4736761,-0.5866666,1.707107,0.2071069,2,2.980232E-08,5.960464E-08,
0.21,-0.4727485,1,-0.4112056,2.169118,0,0.476371,-0.58,1.707107,0.2071069,2,1.043081E-07,8.195639E-08,
0.2133333,-0.4655174,1,-0.4096132,2.169455,0,0.4790735,-0.5733333,1.707107,0.2071068,2,1.788139E-07,4.470348E-08,
0.2166667,-0.4582854,1,-0.4080117,2.16979,0,0.4817838,-0.5666667,1.707107,0.2071068,2,-1.788139E-07,5.215406E-08,
0.22,-0.4510522,1,-0.4064012,2.170123,0,0.4845017,-0.5599999,1.707107,0.2071068,2,2.980232E-08,-7.450581E-09,
0.2233333,-0.4438179,1,-0.4047817,2.170455,0,0.4872273,-0.5533333,1.707107,0.2071068,2,8.940697E-08,4.470348E-08,
0.2266667,-0.4365825,1,-0.4031531,2.170785,0,0.4899606,-0.5466667,1.707107,0.2071068,2,-1.192093E-07,4.470348E-08,
0.23,-0.4293461,1,-0.4015153,2.171113,0,0.4927015,-0.54,1.707107,0.2071069,2,8.940697E-08,-4.470348E-08,
0.2333333,-0.4221085,1,-0.3998684,2.171439,0,0.4954502,-0.5333334,1.707107,0.2071069,2,2.980232E-08,5.215406E-08,
0.2366667,-0.4148698,1,-0.3982123,2.171764,0,0.4982064,-0.5266667,1.707107,0.2071068,2,2.980232E-08,7.45058E-09,
0.24,-0.4076301,1,-0.396547,2.172088,0,0.5009703,-0.52,1.707107,0.2071068,2,-1.192093E-07,-3.72529E-08,
0.2433333,-0.4003892,1,-0.3948725,2.172409,0,0.5037419,-0.5133333,1.707107,0.2071068,2,1.192093E-07,-1.490116E-08,
0.2466667,-0.3931473,1,-0.3931887,2.172729,0,0.5065211,-0.5066667,1.707107,0.2071069,2,-1.192093E-07,4.470348E-08,
0.25,-0.3859043,1,-0.3914956,2.173047,0,0.509308,-0.5,1.707107,0.2071068,2,-1.192093E-07,-1.490116E-08,
0.2533333,-0.3786603,1,-0.3897933,2.173364,0,0.5121024,-0.4933333,1.707107,0.2071069,2,-5.960464E-08,2.980232E-08,
0.2566667,-0.3714153,1,-0.3880816,2.173678,0,0.5149046,-0.4866667,1.707107,0.2071069,2,8.940697E-08,7.450581E-08,
0.26,-0.3641692,1,-0.3863606,2.173991,0,0.5177143,-0.48,1.707107,0.2071068,2,-5.960464E-08,0,
0.2633333,-0.356922,1,-0.3846302,2.174303,0,0.5205317,-0.4733333,1.707107,0.2071069,2,0,1.490116E-08,
0.2666667,-0.3496737,1,-0.3828904,2.174612,0,0.5233567,-0.4666666,1.707107,0.2071068,2,0,7.450581E-08,
0.27,-0.3424245,1,-0.3811412,2.17492,0,0.5261892,-0.46,1.707107,0.2071068,2,0,2.980232E-08,
0.2733333,-0.3351743,1,-0.3793824,2.175225,0,0.5290294,-0.4533333,1.707107,0.2071069,2,-5.960464E-08,2.980232E-08,
0.2766667,-0.3279231,1,-0.3776143,2.17553,0,0.5318772,-0.4466667,1.707107,0.2071068,2,0,-2.980232E-08,
0.28,-0.3206708,1,-0.3758366,2.175832,0,0.5347325,-0.44,1.707107,0.2071069,2,-2.980232E-08,-2.980232E-08,
0.2833333,-0.3134176,1,-0.3740494,2.176132,0,0.5375954,-0.4333334,1.707107,0.2071069,2,2.980232E-07,-4.470348E-08,
0.2866667,-0.3061633,1,-0.3722526,2.176431,0,0.5404659,-0.4266667,1.707107,0.2071068,2,-2.980232E-08,-1.490116E-08,
0.29,-0.298908,1,-0.3704462,2.176728,0,0.543344,-0.42,1.707107,0.2071069,2,1.192093E-07,2.980232E-08,
0.2933333,-0.2916518,1,-0.3686303,2.177023,0,0.5462296,-0.4133334,1.707107,0.2071068,2,-2.682209E-07,0,
0.2966667,-0.2843945,1,-0.3668047,2.177316,0,0.5491228,-0.4066667,1.707107,0.2071068,2,2.384186E-07,1.490116E-08,
0.3,-0.2771363,1,-0.3649695,2.177608,0,0.5520235,-0.4,1.707107,0.2071069,2,2.086163E-07,4.470348E-08,
0.3033333,-0.2698771,1,-0.3631245,2.177897,0,0.5549319,-0.3933333,1.707107,0.2071069,2,-1.788139E-07,-5.960464E-08,
0.3066667,-0.262617,1,-0.3612699,2.178185,0,0.5578476,-0.3866667,1.707107,0.2071068,2,1.192093E-07,5.960464E-08,
0.31,-0.2553559,1,-0.3594056,2.17847,0,0.560771,-0.38,1.707107,0.2071069,2,-8.940697E-08,4.470348E-08,
0.3133333,-0.2480938,1,-0.3575315,2.178754,0,0.5637018,-0.3733334,1.707107,0.2071068,2,0,-7.450581E-08,
0.3166667,-0.2408309,1,-0.3556476,2.179036,0,0.5666402,-0.3666667,1.707107,0.2071069,2,-5.960464E-08,0,
0.32,-0.233567,1,-0.3537538,2.179316,0,0.5695861,-0.36,1.707107,0.2071068,2,1.788139E-07,-1.490116E-08,
0.3233333,-0.2263021,1,-0.3518503,2.179595,0,0.5725395,-0.3533334,1.707107,0.2071068,2,-1.788139E-07,1.490116E-08,
0.3266667,-0.2190363,1,-0.3499369,2.179871,0,0.5755004,-0.3466667,1.707107,0.2071068,2,1.192093E-07,1.490116E-08,
0.33,-0.2117696,1,-0.3480136,2.180145,0,0.5784687,-0.34,1.707107,0.2071069,2,0,-4.470348E-08,
0.3333333,-0.204502,1,-0.3460804,2.180417,0,0.5814446,-0.3333333,1.707107,0.2071068,2,1.192093E-07,0,
0.3366667,-0.1972335,1,-0.3441373,2.180688,0,0.584428,-0.3266667,1.707107,0.2071068,2,-1.788139E-07,-4.470348E-08,
0.34,-0.1899641,1,-0.3421842,2.180956,0,0.5874187,-0.32,1.707107,0.2071069,2,5.960464E-08,0,
0.3433333,-0.1826938,1,-0.3402212,2.181223,0,0.590417,-0.3133333,1.707107,0.2071068,2,2.384186E-07,0,
0.3466667,-0.1754226,1,-0.3382481,2.181487,0,0.5934227,-0.3066667,1.707107,0.2071068,2,-1.788139E-07,0,
0.35,-0.1681506,1,-0.336265,2.18175,0,0.5964357,-0.3,1.707107,0.2071068,2,-1.788139E-07,-2.980232E-08,
0.3533333,-0.1608777,1,-0.3342719,2.18201,0,0.5994564,-0.2933334,1.707107,0.2071068,2,0,-5.960464E-08,
0.3566667,-0.1536039,1,-0.3322687,2.182269,0,0.6024844,-0.2866667,1.707107,0.2071068,2,1.788139E-07,-2.980232E-08,
0.36,-0.1463291,1,-0.3302553,2.182525,0,0.6055198,-0.2799999,1.707107,0.2071068,2,5.960464E-08,0,
0.3633333,-0.1390536,1,-0.3282318,2.18278,0,0.6085626,-0.2733333,1.707107,0.2071068,2,-1.788139E-07,-5.960464E-08,
0.3666667,-0.1317773,1,-0.3261982,2.183032,0,0.6116129,-0.2666667,1.707107,0.2071068,2,0,5.960464E-08,
0.37,-0.1245001,1,-0.3241544,2.183283,0,0.6146706,-0.26,1.707107,0.2071068,2,2.384186E-07,5.960464E-08,
0.3733333,-0.1172221,1,-0.3221004,2.183531,0,0.6177356,-0.2533333,1.707107,0.2071068,2,0,-2.980232E-08,
0.3766667,-0.1099432,1,-0.3200362,2.183778,0,0.6208079,-0.2466667,1.707107,0.2071068,2,0,0,
0.38,-0.1026636,1,-0.3179617,2.184022,0,0.6238877,-0.24,1.707107,0.2071068,2,-5.960464E-08,2.980232E-08,
0.3833333,-0.09538311,1,-0.3158769,2.184264,0,0.6269748,-0.2333334,1.707107,0.2071068,2,0,-8.940697E-08,
0.3866667,-0.08810182,1,-0.3137819,2.184504,0,0.6300693,-0.2266667,1.707107,0.2071069,2,0,0,
0.39,-0.08081976,1,-0.3116764,2.184742,0,0.6331711,-0.22,1.707107,0.2071068,2,-1.788139E-07,-5.960464E-08,
0.3933333,-0.07353683,1,-0.3095607,2.184978,0,0.6362803,-0.2133333,1.707107,0.2071068,2,-5.960464E-08,5.960464E-08,
0.3966667,-0.06625319,1,-0.3074345,2.185212,0,0.6393968,-0.2066666,1.707107,0.2071069,2,5.960464E-08,2.980232E-08,
0.4,-0.05896877,1,-0.305298,2.185444,0,0.6425205,-0.2,1.707107,0.2071068,2,5.960464E-08,2.980232E-08,
0.4033333,-0.05168356,1,-0.3031511,2.185674,0,0.6456518,-0.1933333,1.707107,0.2071068,2,5.960464E-08,-2.980232E-08,
0.4066667,-0.04439764,1,-0.3009937,2.185901,0,0.6487901,-0.1866667,1.707107,0.2071068,2,-5.960464E-08,-2.980232E-08,
0.41,-0.03711089,1,-0.2988258,2.186127,0,0.6519359,-0.18,1.707107,0.2071068,2,1.192093E-07,0,
0.4133333,-0.02982345,1,-0.2966474,2.18635,0,0.6550888,-0.1733334,1.707107,0.2071068,2,-1.192093E-07,-5.960464E-08,
0.4166667,-0.02253526,1,-0.2944585,2.186571,0,0.6582491,-0.1666667,1.707107,0.2071068,2,-5.960464E-08,2.980232E-08,
0.42,-0.01524635,1,-0.2922591,2.18679,0,0.6614166,-0.16,1.707107,0.2071068,2,-5.960464E-08,2.980232E-08,
0.4233333,-0.007956624,1,-0.2900491,2.187007,0,0.6645914,-0.1533333,1.707107,0.2071068,2,0,0,
0.4266667,-0.000666216,1,-0.2878284,2.187222,0,0.6677735,-0.1466666,1.707107,0.2071069,2,0,5.960464E-08,
0.43,0.006624892,1,-0.2855973,2.187435,0,0.6709628,-0.14,1.707107,0.2071068,2,0,0,
0.4333333,0.01391669,1,-0.2833554,2.187645,0,0.6741593,-0.1333333,1.707107,0.2071068,2,-1.192093E-07,-2.980232E-08,
0.4366667,0.02120917,1,-0.2811028,2.187853,0,0.677363,-0.1266666,1.707107,0.2071068,2,5.960464E-08,5.960464E-08,
0.44,0.02850234,1,-0.2788396,2.188059,0,0.680574,-0.12,1.707107,0.2071068,2,1.192093E-07,-2.980232E-08,
0.4433333,0.0357962,1,-0.2765657,2.188263,0,0.6837921,-0.1133333,1.707107,0.2071068,2,0,0,
